"Game Number","Game Step","Initial Deck","Move Type","Card Color/Rank/Position","Cards Involving","Current Player ID","Player 1","Player 2","Player 3","Player 4","Player 5"
"1","1","G0Y2G3Y3W1G4R0B4Y0B0W0G0R2B3Y0G2B2Y1B1R1R3G1G1G3W0B1Y0Y3W4G2G0W2R0W1Y4R4R3W3B2B0B3R2W2W0R1Y1B0R0W3Y2","REVEAL_RANK","0","G0W0B0Y0","0","Y3G3Y2G0","B4R0G4W1","G0W0B0Y0","G2Y0B3R2","R1B1Y1B2"
"1","2","G0Y2G3Y3W1G4R0B4Y0B0W0G0R2B3Y0G2B2Y1B1R1R3G1G1G3W0B1Y0Y3W4G2G0W2R0W1Y4R4R3W3B2B0B3R2W2W0R1Y1B0R0W3Y2","DISCARD","4","W1","1","Y3G3Y2G0","B4R0G4W1","G0W0B0Y0","G2Y0B3R2","R1B1Y1B2"
"1","3","G0Y2G3Y3W1G4R0B4Y0B0W0G0R2B3Y0G2B2Y1B1R1R3G1G1G3W0B1Y0Y3W4G2G0W2R0W1Y4R4R3W3B2B0B3R2W2W0R1Y1B0R0W3Y2","PLAY","1","G0","2","Y3G3Y2G0","R3B4R0G4","G0W0B0Y0","G2Y0B3R2","R1B1Y1B2"
"1","4","G0Y2G3Y3W1G4R0B4Y0B0W0G0R2B3Y0G2B2Y1B1R1R3G1G1G3W0B1Y0Y3W4G2G0W2R0W1Y4R4R3W3B2B0B3R2W2W0R1Y1B0R0W3Y2","REVEAL_COLOR","G","G1","3","Y3G3Y2G0","R3B4R0G4","G1W0B0Y0","G2Y0B3R2","R1B1Y1B2"
"1","5","G0Y2G3Y3W1G4R0B4Y0B0W0G0R2B3Y0G2B2Y1B1R1R3G1G1G3W0B1Y0Y3W4G2G0W2R0W1Y4R4R3W3B2B0B3R2W2W0R1Y1B0R0W3Y2","REVEAL_RANK","0","R0","4","Y3G3Y2G0","R3B4R0G4","G1W0B0Y0","G2Y0B3R2","R1B1Y1B2"
"1","6","G0Y2G3Y3W1G4R0B4Y0B0W0G0R2B3Y0G2B2Y1B1R1R3G1G1G3W0B1Y0Y3W4G2G0W2R0W1Y4R4R3W3B2B0B3R2W2W0R1Y1B0R0W3Y2","REVEAL_COLOR","G","G2","0","Y3G3Y2G0","R3B4R0G4","G1W0B0Y0","G2Y0B3R2","R1B1Y1B2"
"1","7","G0Y2G3Y3W1G4R0B4Y0B0W0G0R2B3Y0G2B2Y1B1R1R3G1G1G3W0B1Y0Y3W4G2G0W2R0W1Y4R4R3W3B2B0B3R2W2W0R1Y1B0R0W3Y2","PLAY","3","R0","1","Y3G3Y2G0","R3B4R0G4","G1W0B0Y0","G2Y0B3R2","R1B1Y1B2"
"1","8","G0Y2G3Y3W1G4R0B4Y0B0W0G0R2B3Y0G2B2Y1B1R1R3G1G1G3W0B1Y0Y3W4G2G0W2R0W1Y4R4R3W3B2B0B3R2W2W0R1Y1B0R0W3Y2","REVEAL_COLOR","Y","Y1","2","Y3G3Y2G0","G1R3B4G4","G1W0B0Y0","G2Y0B3R2","R1B1Y1B2"
"1","9","G0Y2G3Y3W1G4R0B4Y0B0W0G0R2B3Y0G2B2Y1B1R1R3G1G1G3W0B1Y0Y3W4G2G0W2R0W1Y4R4R3W3B2B0B3R2W2W0R1Y1B0R0W3Y2","PLAY","2","Y0","3","Y3G3Y2G0","G1R3B4G4","G1W0B0Y0","G2Y0B3R2","R1B1Y1B2"
"1","10","G0Y2G3Y3W1G4R0B4Y0B0W0G0R2B3Y0G2B2Y1B1R1R3G1G1G3W0B1Y0Y3W4G2G0W2R0W1Y4R4R3W3B2B0B3R2W2W0R1Y1B0R0W3Y2","PLAY","3","Y1","4","Y3G3Y2G0","G1R3B4G4","G1W0B0Y0","G3G2B3R2","R1B1Y1B2"
