"Game Number","Game Step","Initial Deck","Move Type","Card Color/Rank/Position","Cards Involving","Current Player ID","Player 1","Player 2","Player 3","Player 4"
"1","1","Y2Y3G0W3B4G1Y1W2W0Y0B1B3R1G2R0B3Y2B2R4R2G4B1G2W1B2Y4B0R2G3B0W1W0R3W4R1Y0G3Y3W0Y0G1R0W3G0B0W2R3R0Y1G0","REVEAL_RANK","4","B4","0","W3G0Y3Y2","W2Y1G1B4","B3B1Y0W0","B3R0G2R1"
"1","2","Y2Y3G0W3B4G1Y1W2W0Y0B1B3R1G2R0B3Y2B2R4R2G4B1G2W1B2Y4B0R2G3B0W1W0R3W4R1Y0G3Y3W0Y0G1R0W3G0B0W2R3R0Y1G0","REVEAL_RANK","0","Y0W0","1","W3G0Y3Y2","W2Y1G1B4","B3B1Y0W0","B3R0G2R1"
"1","3","Y2Y3G0W3B4G1Y1W2W0Y0B1B3R1G2R0B3Y2B2R4R2G4B1G2W1B2Y4B0R2G3B0W1W0R3W4R1Y0G3Y3W0Y0G1R0W3G0B0W2R3R0Y1G0","REVEAL_COLOR","R","R0R1","2","W3G0Y3Y2","W2Y1G1B4","B3B1Y0W0","B3R0G2R1"
"1","4","Y2Y3G0W3B4G1Y1W2W0Y0B1B3R1G2R0B3Y2B2R4R2G4B1G2W1B2Y4B0R2G3B0W1W0R3W4R1Y0G3Y3W0Y0G1R0W3G0B0W2R3R0Y1G0","PLAY","2","R0","3","W3G0Y3Y2","W2Y1G1B4","B3B1Y0W0","B3R0G2R1"
"1","5","Y2Y3G0W3B4G1Y1W2W0Y0B1B3R1G2R0B3Y2B2R4R2G4B1G2W1B2Y4B0R2G3B0W1W0R3W4R1Y0G3Y3W0Y0G1R0W3G0B0W2R3R0Y1G0","DISCARD","4","Y2","0","W3G0Y3Y2","W2Y1G1B4","B3B1Y0W0","Y2B3G2R1"
"1","6","Y2Y3G0W3B4G1Y1W2W0Y0B1B3R1G2R0B3Y2B2R4R2G4B1G2W1B2Y4B0R2G3B0W1W0R3W4R1Y0G3Y3W0Y0G1R0W3G0B0W2R3R0Y1G0","REVEAL_COLOR","G","G0","1","B2W3G0Y3","W2Y1G1B4","B3B1Y0W0","Y2B3G2R1"
"1","7","Y2Y3G0W3B4G1Y1W2W0Y0B1B3R1G2R0B3Y2B2R4R2G4B1G2W1B2Y4B0R2G3B0W1W0R3W4R1Y0G3Y3W0Y0G1R0W3G0B0W2R3R0Y1G0","PLAY","3","Y0","2","B2W3G0Y3","W2Y1G1B4","B3B1Y0W0","Y2B3G2R1"
"1","8","Y2Y3G0W3B4G1Y1W2W0Y0B1B3R1G2R0B3Y2B2R4R2G4B1G2W1B2Y4B0R2G3B0W1W0R3W4R1Y0G3Y3W0Y0G1R0W3G0B0W2R3R0Y1G0","REVEAL_RANK","1","Y1G1","3","B2W3G0Y3","W2Y1G1B4","R4B3B1W0","Y2B3G2R1"
"1","9","Y2Y3G0W3B4G1Y1W2W0Y0B1B3R1G2R0B3Y2B2R4R2G4B1G2W1B2Y4B0R2G3B0W1W0R3W4R1Y0G3Y3W0Y0G1R0W3G0B0W2R3R0Y1G0","PLAY","3","G0","0","B2W3G0Y3","W2Y1G1B4","R4B3B1W0","Y2B3G2R1"
"1","10","Y2Y3G0W3B4G1Y1W2W0Y0B1B3R1G2R0B3Y2B2R4R2G4B1G2W1B2Y4B0R2G3B0W1W0R3W4R1Y0G3Y3W0Y0G1R0W3G0B0W2R3R0Y1G0","PLAY","2","Y1","1","R2B2W3Y3","W2Y1G1B4","R4B3B1W0","Y2B3G2R1"
