"Game Number","Game Step","Initial Deck","Move Type","Card Color/Rank/Position","Cards Involving","Current Player ID","Player 1","Player 2","Player 3"
"1","1","R0R2W3R3R0Y1G0W3B1G2Y0W4W2Y4R1B0G0Y0B3W1R4G1B2Y0B1W0B0B2W1W2Y2Y3R0G3R2R1W0G2G4R3G0Y2G3B0Y3W0G1B3Y1B4","REVEAL_RANK","0","G0","0","R0R3W3R2R0","G2B1W3G0Y1","R1Y4W2W4Y0"
"1","2","R0R2W3R3R0Y1G0W3B1G2Y0W4W2Y4R1B0G0Y0B3W1R4G1B2Y0B1W0B0B2W1W2Y2Y3R0G3R2R1W0G2G4R3G0Y2G3B0Y3W0G1B3Y1B4","PLAY","4","G0","1","R0R3W3R2R0","G2B1W3G0Y1","R1Y4W2W4Y0"
"1","3","R0R2W3R3R0Y1G0W3B1G2Y0W4W2Y4R1B0G0Y0B3W1R4G1B2Y0B1W0B0B2W1W2Y2Y3R0G3R2R1W0G2G4R3G0Y2G3B0Y3W0G1B3Y1B4","REVEAL_COLOR","B","B0B1","2","R0R3W3R2R0","B0G2B1W3Y1","R1Y4W2W4Y0"
"1","4","R0R2W3R3R0Y1G0W3B1G2Y0W4W2Y4R1B0G0Y0B3W1R4G1B2Y0B1W0B0B2W1W2Y2Y3R0G3R2R1W0G2G4R3G0Y2G3B0Y3W0G1B3Y1B4","REVEAL_COLOR","Y","Y4Y0","0","R0R3W3R2R0","B0G2B1W3Y1","R1Y4W2W4Y0"
"1","5","R0R2W3R3R0Y1G0W3B1G2Y0W4W2Y4R1B0G0Y0B3W1R4G1B2Y0B1W0B0B2W1W2Y2Y3R0G3R2R1W0G2G4R3G0Y2G3B0Y3W0G1B3Y1B4","REVEAL_RANK","0","Y0","1","R0R3W3R2R0","B0G2B1W3Y1","R1Y4W2W4Y0"
"1","6","R0R2W3R3R0Y1G0W3B1G2Y0W4W2Y4R1B0G0Y0B3W1R4G1B2Y0B1W0B0B2W1W2Y2Y3R0G3R2R1W0G2G4R3G0Y2G3B0Y3W0G1B3Y1B4","REVEAL_COLOR","Y","Y1","2","R0R3W3R2R0","B0G2B1W3Y1","R1Y4W2W4Y0"
"1","7","R0R2W3R3R0Y1G0W3B1G2Y0W4W2Y4R1B0G0Y0B3W1R4G1B2Y0B1W0B0B2W1W2Y2Y3R0G3R2R1W0G2G4R3G0Y2G3B0Y3W0G1B3Y1B4","PLAY","1","R0","0","R0R3W3R2R0","B0G2B1W3Y1","R1Y4W2W4Y0"
"1","8","R0R2W3R3R0Y1G0W3B1G2Y0W4W2Y4R1B0G0Y0B3W1R4G1B2Y0B1W0B0B2W1W2Y2Y3R0G3R2R1W0G2G4R3G0Y2G3B0Y3W0G1B3Y1B4","PLAY","1","B0","1","G0R3W3R2R0","B0G2B1W3Y1","R1Y4W2W4Y0"
"1","9","R0R2W3R3R0Y1G0W3B1G2Y0W4W2Y4R1B0G0Y0B3W1R4G1B2Y0B1W0B0B2W1W2Y2Y3R0G3R2R1W0G2G4R3G0Y2G3B0Y3W0G1B3Y1B4","PLAY","5","Y0","2","G0R3W3R2R0","Y0G2B1W3Y1","R1Y4W2W4Y0"
"1","10","R0R2W3R3R0Y1G0W3B1G2Y0W4W2Y4R1B0G0Y0B3W1R4G1B2Y0B1W0B0B2W1W2Y2Y3R0G3R2R1W0G2G4R3G0Y2G3B0Y3W0G1B3Y1B4","DISCARD","5","R0","0","G0R3W3R2R0","Y0G2B1W3Y1","B3R1Y4W2W4"
