"Game Number","Game Step","Initial Deck","Move Type","Card Color/Rank/Position","Cards Involving","Current Player ID","Player 1","Player 2"
"1","21","Y2Y1W0G2G4R4B0W1R1Y4R0G3B1R1W3G3Y3G2B1B0R0W0Y2W3Y0W4G0W1R3B3G0B3B4Y1B2G1R2G0Y0B2W0B0R0Y0G1W2R2W2Y3R3","REVEAL_RANK","4","Y4R4","0","B0G2G3G3G4","Y2W0R0Y4R4"
"1","22","Y2Y1W0G2G4R4B0W1R1Y4R0G3B1R1W3G3Y3G2B1B0R0W0Y2W3Y0W4G0W1R3B3G0B3B4Y1B2G1R2G0Y0B2W0B0R0Y0G1W2R2W2Y3R3","DISCARD","3","R0","1","B0G2G3G3G4","Y2W0R0Y4R4"
"1","23","Y2Y1W0G2G4R4B0W1R1Y4R0G3B1R1W3G3Y3G2B1B0R0W0Y2W3Y0W4G0W1R3B3G0B3B4Y1B2G1R2G0Y0B2W0B0R0Y0G1W2R2W2Y3R3","REVEAL_RANK","3","W3","0","B0G2G3G3G4","W3Y2W0Y4R4"
"1","24","Y2Y1W0G2G4R4B0W1R1Y4R0G3B1R1W3G3Y3G2B1B0R0W0Y2W3Y0W4G0W1R3B3G0B3B4Y1B2G1R2G0Y0B2W0B0R0Y0G1W2R2W2Y3R3","DISCARD","3","W0","1","B0G2G3G3G4","W3Y2W0Y4R4"
"1","25","Y2Y1W0G2G4R4B0W1R1Y4R0G3B1R1W3G3Y3G2B1B0R0W0Y2W3Y0W4G0W1R3B3G0B3B4Y1B2G1R2G0Y0B2W0B0R0Y0G1W2R2W2Y3R3","REVEAL_RANK","0","Y0","0","B0G2G3G3G4","Y0W3Y2Y4R4"
"1","26","Y2Y1W0G2G4R4B0W1R1Y4R0G3B1R1W3G3Y3G2B1B0R0W0Y2W3Y0W4G0W1R3B3G0B3B4Y1B2G1R2G0Y0B2W0B0R0Y0G1W2R2W2Y3R3","REVEAL_RANK","4","G4","1","B0G2G3G3G4","Y0W3Y2Y4R4"
"1","27","Y2Y1W0G2G4R4B0W1R1Y4R0G3B1R1W3G3Y3G2B1B0R0W0Y2W3Y0W4G0W1R3B3G0B3B4Y1B2G1R2G0Y0B2W0B0R0Y0G1W2R2W2Y3R3","DISCARD","4","G3","0","B0G2G3G3G4","Y0W3Y2Y4R4"
"1","28","Y2Y1W0G2G4R4B0W1R1Y4R0G3B1R1W3G3Y3G2B1B0R0W0Y2W3Y0W4G0W1R3B3G0B3B4Y1B2G1R2G0Y0B2W0B0R0Y0G1W2R2W2Y3R3","REVEAL_COLOR","G","G2G3G4","1","W4B0G2G3G4","Y0W3Y2Y4R4"
"1","29","Y2Y1W0G2G4R4B0W1R1Y4R0G3B1R1W3G3Y3G2B1B0R0W0Y2W3Y0W4G0W1R3B3G0B3B4Y1B2G1R2G0Y0B2W0B0R0Y0G1W2R2W2Y3R3","DISCARD","2","B0","0","W4B0G2G3G4","Y0W3Y2Y4R4"
"1","30","Y2Y1W0G2G4R4B0W1R1Y4R0G3B1R1W3G3Y3G2B1B0R0W0Y2W3Y0W4G0W1R3B3G0B3B4Y1B2G1R2G0Y0B2W0B0R0Y0G1W2R2W2Y3R3","REVEAL_RANK","0","G0","1","G0W4G2G3G4","Y0W3Y2Y4R4"
