0,Deck,Y2
0,Deck,R3
0,Deck,G4
0,Deck,B1
0,Deck,R0
0,Deck,R2
0,Deck,Y3
0,Deck,W2
0,Deck,W3
0,Deck,B0
0,Deck,W4
0,Deck,Y0
0,Deck,G1
0,Deck,G2
0,Deck,R3
0,Deck,G0
0,Deck,W2
0,Deck,G2
0,Deck,Y1
0,Deck,B2
0,Deck,R0
0,Deck,Y0
0,Deck,G0
0,Deck,G3
0,Deck,B0
0,Deck,Y1
0,Deck,W0
0,Deck,W3
0,Deck,R1
0,Deck,Y3
0,Deck,W1
0,Deck,R1
0,Deck,B1
0,Deck,G3
0,Deck,B3
0,Deck,Y4
0,Deck,R0
0,Deck,W1
0,Deck,R4
0,Deck,G1
0,Deck,Y2
0,Deck,W0
0,Deck,W0
0,Deck,B2
0,Deck,B3
0,Deck,G0
0,Deck,B4
0,Deck,B0
0,Deck,Y0
0,Deck,R2
0,REVEAL_RANK,X0
0,PLAY,B0
0,DISCARD,Y2
0,REVEAL_RANK,X0
0,DISCARD,R3
0,REVEAL_COLOR,Y-1
0,PLAY,Y0
0,REVEAL_RANK,X1
0,DISCARD,G4
0,REVEAL_COLOR,B-1
0,PLAY,B1
0,REVEAL_RANK,X0
0,PLAY,R0
0,REVEAL_COLOR,G-1
0,PLAY,G0
0,DISCARD,R2
0,PLAY,G1
0,REVEAL_RANK,X2
0,PLAY,G2
0,REVEAL_COLOR,B-1
0,PLAY,B2
0,DISCARD,Y3
0,REVEAL_RANK,X1
0,DISCARD,W2
0,REVEAL_COLOR,Y-1
0,PLAY,Y1
0,REVEAL_RANK,X3
0,DISCARD,W3
0,REVEAL_COLOR,G-1
0,PLAY,G3
0,REVEAL_RANK,X0
0,DISCARD,G0
0,REVEAL_COLOR,W-1
0,PLAY,W0
0,REVEAL_RANK,X1
0,DISCARD,B0
0,REVEAL_COLOR,R-1
0,PLAY,R1
0,DISCARD,R3
0,DISCARD,W4
0,REVEAL_RANK,X1
0,DISCARD,Y1
0,REVEAL_COLOR,W-1
0,PLAY,W1
0,PLAY,W2
0,DISCARD,B1
0,REVEAL_RANK,X3
0,PLAY,W3
0,REVEAL_COLOR,B-1
0,PLAY,B3
0,DISCARD,G2
0,DISCARD,Y3
0,REVEAL_RANK,X2
0,DISCARD,G3
0,REVEAL_COLOR,Y-1
0,PLAY,Y2
